estacion,lineas,numero_lineas
Atlalilco,"8,12",2
Balderas,"1,3",2
Bellas Artes,"2,8",2
Candelaria,"1,4",2
Centro Médico,"3,9",2
Chabacano,"2,8,9",3
Consulado,"4,5",2
Deportivo 18 de Marzo,"3,6",2
El Rosario,"6,7",2
Ermita,"2,12",2
Garibaldi/Lagunilla,"8,B",2
Guerrero,"3,B",2
Hidalgo,"2,3",2
Instituto del Petróleo,"5,6",2
Jamaica,"4,9",2
La Raza,"3,5",2
Martín Carrera,"4,6",2
Mixcoac,"7,12",2
Morelos,"4,B",2
Oceanía,"5,B",2
Pantitlán,"1,5,9,A",4
Pino Suárez,"1,2",2
Salto del Agua,"1,8",2
San Lázaro,"1,B",2
Santa Anita,"4,8",2
Tacuba,"2,7",2
Tacubaya,"1,7,9",3
Zapata,"3,12",2
